Name,F.year,Address,States,City,County,Type,latitude,longitude,geocode_source,geocode_input,matched_address,match_type
Chinatown Improvement District,2008,"P.O. Box 37764 Honolulu, HI 96837",HI,HONOLULU,HONOLULU,CSO,21.316548,-157.845053,geocodio,"P.O. Box 37764 Honolulu, HI 96837","PO Box 37764, Honolulu, HI 96837",1
South Asian Womens Empowerment and Resource Alliance,1997,"Portland, OR, 97291-0242",OR,PORTLAND,MULTNOMAH,CSO,45.548616,-123.114725,geocodio,"Portland, OR, 97291-0242","Portland, OR 97291",1
Asian Pacific Youth Leadership Project,1990,"Sacramento, CA 95822-0423 USA",CA,SACRAMENTO,SACRAMENTO,Hybrid,38.511356,-121.497716,geocodio,"Sacramento, CA 95822-0423 USA","Sacramento, CA 95822",1
Gay Asian Pacific Alliance,1988,San Francisco,CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.776646,-122.417481,geocodio,San Francisco,"San Francisco, CA 94101",1
MAITRI,1991,"Santa Clara, CA 95052 ",CA,SANTA CLARA,SANTA CLARA,CSO,37.189396,-121.705327,geocodio,"Santa Clara, CA 95052","Santa Clara, CA 95052",1
South Cove Community Health Center,1972,"South Street Clinic 145 South St. Boston, MA 02111-2826",MA,BOSTON,SUFFOLK,CSO,42.350756,-71.057532,geocodio,"South Street Clinic 145 South St. Boston, MA 02111-2826","145 South St, Boston, MA 02111",1
National Coalition for Asian Pacific American Community Development,1999,"Suite 2, 1825 San Pablo Ave, Oakland, CA 94612",CA,OAKLAND,ALAMEDA,Hybrid,37.809849,-122.273141,geocodio,"Suite 2, 1825 San Pablo Ave, Oakland, CA 94612","San Pablo Ave, Oakland, CA 94612",0.7
The Asian/Pacific Islander Domestic Violence Resource Project,1996,"Washington, DC 20044 USA",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CSO,38.893311,-77.014647,geocodio,"Washington, DC 20044 USA","Washington, DC 20044",1
Southeast Asia Resource Action Center,1979,"Washington, DC Office, 1628 16th Street, NW Washington, DC 20009",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Hybrid,38.912172,-77.036912,geocodio,"Washington, DC Office, 1628 16th Street, NW Washington, DC 20009","1628 16th St NW, Washington, DC 20009",1
American Citizens for Justice,1983,"Westland, Michigan 48185",MI,WESTLAND,WAYNE,Advocacy,42.333901,-83.384209,geocodio,"Westland, Michigan 48185","Westland, MI 48185",1
Asian Community Development Center,2015,"WOODSIDE, NY 11377",NY,WOODSIDE,QUEENS,CSO,40.748372,-73.905445,geocodio,"WOODSIDE, NY 11377","Woodside, NY 11377",1
80-20 Initiative,1998,,,,,Advocacy,,,missing_query,,,
ASHA for Women,1989,,MD,ROCKVILLE,MONTGOMERY,CSO,39.089557,-77.184127,geocodio,"ROCKVILLE, MD","Rockville, MD 20850",1
Asian American Cancer Support Network,2003,,CA,SUNNYVALE,SANTA CLARA,CSO,37.371647,-122.023153,geocodio,"SUNNYVALE, CA","Sunnyvale, CA 94086",1
Asian American Education Association of Palm Beach County,2015,,FL,BOCA RATON,PALM BEACH,CSO,26.348017,-80.218991,geocodio,"BOCA RATON, FL","Boca Raton, FL 33428",1
Asian American Environmental Awareness Organization,1999,,MD,CLARKSVILLE,HOWARD,Advocacy,39.212456,-76.951498,geocodio,"CLARKSVILLE, MD","Clarksville, MD 21029",1
Asian American National Committee,2000,,MA,DORCHESTER,SUFFOLK,Hybrid,42.291413,-71.042158,geocodio,"DORCHESTER, MA","Dorchester, MA 02122",1
Asian American Parents Association,1991,,CA,CUPERTINO,SANTA CLARA,Advocacy,37.30661,-122.080628,geocodio,"CUPERTINO, CA","Cupertino, CA 95014",1
Asian and Pacific Islander Family Pride,2004,,CA,FREMONT,ALAMEDA,CSO,37.565285,-121.982721,geocodio,"FREMONT, CA","Fremont, CA 94536",1
Asian Family Support Services of Austin,1992,,TX,AUSTIN,AUSTIN,CSO,30.268335,-97.741382,geocodio,"AUSTIN, TX","Austin, TX 78701",1
Asian Focus Corporation,2010,,NC,MORRISVILLE,WAKE,CSO,35.852458,-78.843526,geocodio,"MORRISVILLE, NC","Morrisville, NC 27560",1
Asian Pacific Islander Domestic Violence Resource Project,1996,,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CSO,38.921396,-76.993643,geocodio,"WASHINGTON DC, DC","Washington Pl NE, Washington, DC 20018",0.9
Asian Pacific Islander Pride,1993,,OR,PORTLAND,MULTNOMAH,CSO,45.507856,-122.690794,geocodio,"PORTLAND, OR","Portland, OR 97201",1
Asian Pacific Rim Foundation,1998,,CA,SACRAMENTO,SACRAMENTO,CSO,38.377411,-121.444429,geocodio,"SACRAMENTO, CA","Sacramento, CA 94240",1
Gay Asian and Pacific Islander Men of New York,1990,,NY,NEW YORK,NEW YORK,Hybrid,40.750422,-73.996328,geocodio,"NEW YORK, NY","New York, NY 10001",1
IRCO Asian Family Center,1994,,OR,PORTLAND,MULTNOMAH,CSO,45.507856,-122.690794,geocodio,"PORTLAND, OR","Portland, OR 97201",1
National AAPI DACA Collaborative,2012,,CA,LOS ANGELES,LOS ANGELES,Advocacy,33.973951,-118.248405,geocodio,"LOS ANGELES, CA","Los Angeles, CA 90001",1
Riverside Asian American Community Association,2004,,CA,RIVERSIDE,RIVERSIDE,CSO,33.99504,-117.373184,geocodio,"RIVERSIDE, CA","Riverside, CA 92501",1
Southwest Center for Asian Pacific American Law,2000,,CA,SAN DIEGO,SAN DIEGO,CSO,32.724103,-117.170912,geocodio,"SAN DIEGO, CA","San Diego, CA 92101",1
