Name,F.year,Address,States,City,County,Type,latitude,longitude,geocode_source,geocode_input,matched_address,match_type
Inland Empire Latino Lawyers Association Inc,1978,"2060 University Ave, Suite 113, Riverside, CA",CA,RIVERSIDE,RIVERSIDE,CSO,33.975063,-117.356334,geocodio,"2060 University Ave, Suite 113, Riverside, CA","2060 University Ave, Ste 113, Riverside, CA 92507",1
Latino Mentor Program,2000,,CA,RIVERSIDE,RIVERSIDE,CSO,33.99504,-117.373184,geocodio,"RIVERSIDE, CA","Riverside, CA 92501",1
La Voz Latina,1971,,IL,ROCKFORD,WINNEBAGO,CSO,42.33342,-89.157198,geocodio,"ROCKFORD, IL","Rockford, IL 61101",1
Hispanic Brotherhood of Rockville Centre,1984,,NY,ROCKVILLE CENTRE,NASSAU,CSO,40.667352,-73.638523,geocodio,"ROCKVILLE CENTRE, NY","Rockville Centre, NY 11570",1
Apoyo Latino,1987,,AR,ROGERS,BENTON,CSO,36.320391,-93.978383,geocodio,"ROGERS, AR","Rogers, AR 72756",1
Healthy Latino Community,2006,,NY,ROSLYN HEIGHTS,NASSAU,CSO,40.77877,-73.63963,geocodio,"ROSLYN HEIGHTS, NY","Roslyn Heights, NY 11577",1
Sociedad Latina,1968,,MA,ROXBURY,SUFFOLK,CSO,42.325098,-71.095329,geocodio,"ROXBURY, MA","Roxbury, MA 02119",1
California Hispanic Commission on Alcohol And Drug Abuse,1975,"2101 Capitol Avenue, Sacramento, CA 95816",CA,SACRAMENTO,SACRAMENTO,CSO,38.573196,-121.479414,geocodio,"2101 Capitol Avenue, Sacramento, CA 95816","2101 Capitol Ave, Sacramento, CA 95816",1
California Latino Water Coalition,2007,"1415 L Street Sacramento, CA 95814-3961",CA,SACRAMENTO,SACRAMENTO,Advocacy,38.576832,-121.488303,geocodio,"1415 L Street Sacramento, CA 95814-3961","1415 L St, Sacramento, CA 95814",1
Chicano and Latino Youth Leadership Project,1982,"Sacramento, CA 95816-1566",CA,SACRAMENTO,SACRAMENTO,CSO,38.571505,-121.467549,geocodio,"Sacramento, CA 95816-1566","Sacramento, CA 95816",1
Latino Coalition for a Healthy California,1992,"1225 8th St., Ste. 550 Sacramento, CA 95814",CA,SACRAMENTO,SACRAMENTO,Hybrid,38.578515,-121.49706,geocodio,"1225 8th St., Ste. 550 Sacramento, CA 95814","1225 8th St, Ste 550, Sacramento, CA 95814",1
Latino Leadership and Policy Forum,2014,1022 G St Sacramento CA 95814-0823,CA,SACRAMENTO,SACRAMENTO,Advocacy,38.583183,-121.491269,geocodio,1022 G St Sacramento CA 95814-0823,"1022 G St, Sacramento, CA 95814",1
Latino Policy Coalition,2007,"1830 N ST SACRAMENTO , CA 95811 ",CA,SACRAMENTO,SACRAMENTO,Advocacy,38.572459,-121.483455,geocodio,"1830 N ST SACRAMENTO , CA 95811","1830 N St, Sacramento, CA 95811",1
Mexican American Alcoholism Program,1975,"4241 Florin Road, Suite 110 Sacramento, CA 95823",CA,SACRAMENTO,SACRAMENTO,CSO,38.496819,-121.458262,geocodio,"4241 Florin Road, Suite 110 Sacramento, CA 95823","4241 Florin Rd, Ste 110, Sacramento, CA 95823",1
National Coalition of Hispanic Organizations,1975,"Sacramento, CA 95812",CA,SACRAMENTO,SACRAMENTO,Advocacy,38.377411,-121.444429,geocodio,"Sacramento, CA 95812","Sacramento, CA 95812",1
National Community College Hispanic Council,1985,1 Capitol Mall Ste 800 Sacramento CA 95814-3274,CA,SACRAMENTO,SACRAMENTO,Advocacy,38.580411,-121.505898,geocodio,1 Capitol Mall Ste 800 Sacramento CA 95814-3274,"1 Capitol Mall, Ste 800, Sacramento, CA 95814",1
Union Latina St Charles,2006,,IL,SAINT CHARLES,DUPAGE,CSO,41.930757,-88.298737,geocodio,"SAINT CHARLES, IL","Saint Charles, IL 60174",1
Comunidades Latinas Unidas En Servicio,1981,"Saint Paul, MN 55106-5014",MN,SAINT PAUL,RAMSEY,Hybrid,44.957065,-93.041616,geocodio,"Saint Paul, MN 55106-5014","Saint Paul, MN 55106",1
